ENSG	GeneSymbol	log2FoldChange	padj
ENSG00000108309.11	RUNDC3A	-0.077	0.99721597945701
ENSG00000108312.13	UBTF	0.067	0.977739368539447
ENSG00000108344.13	PSMD3	0.041	0.990172517863484
ENSG00000108349.13	CASC3	0.291	0.823402076162419
ENSG00000108352.10	RAPGEFL1	0.893	0.856324171275096
ENSG00000108370.14	RGS9	-1.54	0.741754135563349
ENSG00000108375.11	RNF43	3.141	0.0173955968657187
ENSG00000108379.8	WNT3	0.094	0.987824373716955
ENSG00000108381.9	ASPA	-2.262	0.442464266785987
ENSG00000108384.13	RAD51C	0.008	0.998117201067154
ENSG00000108387.13	SEPT4	-0.706	0.826414659368076
ENSG00000108389.8	MTMR4	0.208	0.941876932646578
ENSG00000108395.12	TRIM37	0.455	0.797225849094221
ENSG00000108405.3	P2RX1	-1.438	0.767405607561254
ENSG00000108406.8	DHX40	0.28	0.910121113111785
ENSG00000108423.13	TUBD1	0.235	0.94862050693917
ENSG00000108424.8	KPNB1	0.338	0.814409416006141
ENSG00000108433.14	GOSR2	0.176	0.910121113111785
ENSG00000108439.8	PNPO	-0.453	0.875613776169018
ENSG00000108443.12	RPS6KB1	0.087	0.979374100058666
ENSG00000108448.19	TRIM16L	3.491	0.0009921117869725
ENSG00000108465.13	CDK5RAP3	0.621	0.763918829828994
ENSG00000108468.13	CBX1	0.427	0.698069776549329
ENSG00000108469.13	RECQL5	0.226	0.930738827113272
ENSG00000108474.15	PIGL	0.563	0.814641008266923
ENSG00000108479.10	GALK1	-0.707	0.81812046281286
ENSG00000108506.10	INTS2	0.978	0.20082526108442
ENSG00000108509.19	CAMTA2	-0.182	0.931926454701778
ENSG00000108510.8	MED13	0.097	0.975758083741914
ENSG00000108511.9	HOXB6	0.582	0.956168325843262
ENSG00000108515.16	ENO3	1.253	0.683754241486469
ENSG00000108518.7	PFN1	-0.054	0.991023137179418
ENSG00000108523.14	RNF167	0.123	0.977181771104685
ENSG00000108528.12	SLC25A11	-0.108	0.980991834636687
ENSG00000108551.4	RASD1	-1.383	0.823402076162419
ENSG00000108556.7	CHRNE	-1.201	0.802391683256271
ENSG00000108557.16	RAI1	0.385	0.886358564263861
ENSG00000108559.10	NUP88	0.422	0.712113206755887
ENSG00000108561.7	C1QBP	0.653	0.511006860019351
ENSG00000108576.8	SLC6A4	-0.815	0.912324171937227
ENSG00000108578.13	BLMH	-0.426	0.879988306855586
ENSG00000108582.10	CPD	0.112	0.987824373716955
ENSG00000108587.13	GOSR1	0.106	0.964627320818708
ENSG00000108588.12	CCDC47	-0.199	0.953834748329585
ENSG00000108590.9	MED31	0.089	0.980991834636687
ENSG00000108591.8	DRG2	0.466	0.668264064134118
ENSG00000108592.15	FTSJ3	-0.063	0.984142358250358
ENSG00000108599.13	AKAP10	0.42	0.712113206755887
ENSG00000108602.16	ALDH3A1	7.2	6.49091295012309e-07
ENSG00000108604.14	SMARCD2	0.027	0.994617878470561
ENSG00000108622.9	ICAM2	-0.426	0.946097482060142
ENSG00000108639.6	SYNGR2	-0.179	0.970975616905045
ENSG00000108641.13	B9D1	0.744	0.763918829828994
ENSG00000108651.8	UTP6	0.338	0.728313351728747
ENSG00000108654.10	DDX5	-0.05	0.98667330133435
ENSG00000108666.8	C17orf75	0.282	0.84005707296131
ENSG00000108669.15	CYTH1	-0.196	0.972625444616831
ENSG00000108671.8	PSMD11	-0.009	0.998117201067154
ENSG00000108679.11	LGALS3BP	-0.473	0.906573024617524
ENSG00000108691.8	CCL2	-3.306	0.153323409804941
ENSG00000108700.4	CCL8	-1.179	0.821280978410385
ENSG00000108733.8	PEX12	0.247	0.912181345493727
ENSG00000108771.11	DHX58	-0.09	0.982526347127772
ENSG00000108773.9	KAT2A	0.99	0.365469329168446
ENSG00000108774.13	RAB5C	-0.098	0.979689701413654
ENSG00000108784.8	NAGLU	-0.411	0.875163231211598
ENSG00000108785.7	HSD17B1P1	-1.325	0.54892424957314
ENSG00000108786.9	HSD17B1	-0.838	0.662679157168106
ENSG00000108788.10	MLX	-0.498	0.613102304844342
ENSG00000108797.10	CNTNAP1	0.179	0.977181771104685
ENSG00000108798.7	ABI3	-1.835	0.360092982247267
ENSG00000108799.11	EZH1	0.44	0.725640337741658
ENSG00000108813.10	DLX4	-0.268	0.977181771104685
ENSG00000108819.10	PPP1R9B	-0.094	0.979689701413654
ENSG00000108821.12	COL1A1	0.146	0.986148561584461
ENSG00000108823.14	SGCA	-1.134	0.798224269447799
ENSG00000108826.14	MRPL27	-0.23	0.944545136989123
ENSG00000108828.14	VAT1	-0.216	0.953310783646196
ENSG00000108829.9	LRRC59	0.177	0.972187284189756
ENSG00000108830.9	RND2	-1.303	0.781763138008337
ENSG00000108839.10	ALOX12	0.265	0.953310783646196
ENSG00000108840.14	HDAC5	-0.914	0.448460774062361
ENSG00000108846.14	ABCC3	0.364	0.924317542747658
ENSG00000108848.14	LUC7L3	0.643	0.463911559562771
ENSG00000108852.13	MPP2	-0.471	0.94510616902472
ENSG00000108854.14	SMURF2	0.065	0.991023137179418
ENSG00000108861.7	DUSP3	-0.482	0.860375266302826
ENSG00000108883.11	EFTUD2	0.254	0.909046170205455
ENSG00000108924.12	HLF	-1.32	0.757951234054839
ENSG00000108932.10	SLC16A6	-0.531	0.918148898986345
ENSG00000108946.13	PRKAR1A	-0.038	0.991023137179418
ENSG00000108947.4	EFNB3	-0.236	0.981498932650704
ENSG00000108950.10	FAM20A	-2.633	0.252143253017417
ENSG00000108953.15	YWHAE	0.497	0.704957706987629
ENSG00000108958.4	AC016292.3	-0.063	0.991023137179418
ENSG00000108960.6	MMD	0.113	0.990172517863484
ENSG00000108961.12	RANGRF	0.51	0.888523860221207
ENSG00000108963.16	DPH1	0.032	0.99361018743262
ENSG00000108984.12	MAP2K6	0.814	0.781763138008337
ENSG00000109016.16	DHRS7B	-0.781	0.683754241486469
ENSG00000109046.13	WSB1	1.008	0.314802053663821
ENSG00000109062.8	SLC9A3R1	-0.95	0.729172524222017
ENSG00000109063.13	MYH3	2.154	0.204430586577768
ENSG00000109065.10	NAT9	0.695	0.533419845943882
ENSG00000109066.12	TMEM104	-0.097	0.984483347705939
ENSG00000109072.12	VTN	-0.509	0.963337893034027
ENSG00000109079.8	TNFAIP1	-0.235	0.924991477802158
ENSG00000109083.12	IFT20	0.154	0.967982758850391
ENSG00000109084.12	TMEM97	0.451	0.947236007029811
ENSG00000109089.7	CDR2L	0.465	0.918148898986345
ENSG00000109099.12	PMP22	-1.376	0.366554533018686
ENSG00000109103.10	UNC119	0.371	0.872959566908582
ENSG00000109107.12	ALDOC	0.644	0.912181345493727
ENSG00000109111.13	SUPT6H	-0.249	0.887586651976884
ENSG00000109113.16	RAB34	0.735	0.897142700203855
ENSG00000109118.12	PHF12	0.476	0.621114414151632
ENSG00000109133.11	TMEM33	-0.179	0.972625444616831
ENSG00000109171.13	SLAIN2	-0.402	0.82043153854508
ENSG00000109180.13	OCIAD1	-0.315	0.887674266514574
ENSG00000109181.10	UGT2B10	-2.482	0.819428558693645
ENSG00000109184.13	DCUN1D4	0.137	0.972187284189756
ENSG00000109189.11	USP46	0.077	0.987824373716955
ENSG00000109193.9	SULT1E1	1.556	0.889431049293802
ENSG00000109220.9	CHIC2	-0.198	0.960686503259233
ENSG00000109265.11	KIAA1211	-0.361	0.970975616905045
ENSG00000109270.11	LAMTOR3	0.012	0.998117201067154
ENSG00000109272.3	PF4V1	0.888	0.938553815601574
ENSG00000109320.10	NFKB1	-0.453	0.778367526260735
ENSG00000109321.9	AREG	-1.53	0.780611886159309
ENSG00000109323.7	MANBA	-0.688	0.717396174442958
ENSG00000109332.18	UBE2D3	-0.18	0.933182225836718
ENSG00000109339.17	MAPK10	-0.186	0.985433554809215
ENSG00000109381.18	ELF2	0.101	0.976362709867529
ENSG00000109390.10	NDUFC1	-0.454	0.868929102036698
ENSG00000109436.7	TBC1D9	-0.507	0.879908278127789
ENSG00000109445.9	ZNF330	-0.021	0.994878013665215
ENSG00000109452.11	INPP4B	1.877	0.56245672025881
ENSG00000109458.7	GAB1	-0.451	0.911517440665152
ENSG00000109466.12	KLHL2	-0.74	0.797997690008722
ENSG00000109472.12	CPE	-0.547	0.959546987546759
ENSG00000109475.15	RPL34	-0.108	0.987824373716955
ENSG00000109501.12	WFS1	-0.076	0.988420523199021
ENSG00000109511.9	ANXA10	-3.698	0.330553525084869
ENSG00000109519.11	GRPEL1	-0.44	0.85014999978449
ENSG00000109534.15	GAR1	0.1	0.979689701413654
ENSG00000109536.10	FRG1	-0.068	0.987824373716955
ENSG00000109572.12	CLCN3	-0.373	0.929627264140731
ENSG00000109576.12	AADAT	1.181	0.590805974939704
ENSG00000109586.10	GALNT7	0.747	0.912618972457897
ENSG00000109606.11	DHX15	0.029	0.992003502713574
ENSG00000109610.5	SOD3	-1.347	0.623248867217818
ENSG00000109618.10	SEPSECS	-0.426	0.900935288142214
ENSG00000109625.17	CPZ	-0.917	0.903883827561798
ENSG00000109654.13	TRIM2	0.54	0.922302741687657
ENSG00000109667.10	SLC2A9	-0.764	0.870971070485602
ENSG00000109670.12	FBXW7	0.534	0.775154606503161
ENSG00000109674.3	NEIL3	0.859	0.808478427806733
ENSG00000109680.9	TBC1D19	-0.374	0.894917444775952
ENSG00000109684.13	CLNK	-2.475	0.339094452400482
ENSG00000109685.16	WHSC1	0.561	0.802087681648964
ENSG00000109686.15	SH3D19	-0.004	0.999405775904437
ENSG00000109689.13	STIM2	-0.922	0.370931595308774
ENSG00000109705.7	NKX3-2	-0.68	0.943238483476867
ENSG00000109736.13	MFSD10	-0.234	0.963337893034027
ENSG00000109738.9	GLRB	0.527	0.946155069481969
ENSG00000109743.9	BST1	-1.048	0.822652230886793
ENSG00000109756.7	RAPGEF2	0.026	0.99721597945701
ENSG00000109758.7	HGFAC	-1.995	0.723275149644396
ENSG00000109762.14	SNX25	0.882	0.747016014759409
ENSG00000109771.14	LRP2BP	0.728	0.785214492931509
ENSG00000109775.9	UFSP2	-0.119	0.979374100058666
ENSG00000109787.11	KLF3	0.091	0.985433554809215
ENSG00000109790.15	KLHL5	-0.447	0.908139472763125
ENSG00000109794.12	FAM149A	-1.236	0.749138506332731
ENSG00000109805.8	NCAPG	0.038	0.99721597945701
ENSG00000109814.10	UGDH	1.137	0.660456951352249
ENSG00000109819.7	PPARGC1A	-0.75	0.910289281056382
ENSG00000109846.6	CRYAB	-2.232	0.702284512917564
ENSG00000109854.12	HTATIP2	0.078	0.990164094155935
ENSG00000109861.14	CTSC	0.118	0.988685687471807
ENSG00000109881.15	CCDC34	0.414	0.865455391950458
ENSG00000109906.12	ZBTB16	-3.18	0.23534060779796
ENSG00000109911.16	ELP4	-0.357	0.843994684824307
ENSG00000109917.9	ZPR1	-0.29	0.923934243675934
ENSG00000109919.8	MTCH2	-0.403	0.896173503506587
ENSG00000109920.11	FNBP4	0.31	0.85967244725616
ENSG00000109927.8	TECTA	-0.224	0.970975616905045
ENSG00000109929.8	SC5D	-0.508	0.861490771989953
ENSG00000109943.7	CRTAM	-2.711	0.266665132653414
ENSG00000109944.9	C11orf63	0.317	0.964764121678216
ENSG00000109956.11	B3GAT1	-4.147	0.0716165604578993
ENSG00000109971.12	HSPA8	-0.344	0.913698121422302
ENSG00000110002.14	VWA5A	0.109	0.990172517863484
ENSG00000110011.12	DNAJC4	-0.593	0.794731369253179
ENSG00000110013.11	SIAE	-0.83	0.719846121823705
ENSG00000110025.11	SNX15	0.23	0.968346762482424
ENSG00000110031.11	LPXN	-0.471	0.93177404449668
ENSG00000110042.6	DTX4	-0.001	0.999749231470701
ENSG00000110046.11	ATG2A	-0.226	0.900455397168285
ENSG00000110047.16	EHD1	-0.936	0.616872509864719
ENSG00000110048.10	OSBP	-0.712	0.599837930810834
ENSG00000110057.6	UNC93B1	1.066	0.558302250713696
ENSG00000110060.7	PUS3	-0.343	0.861921377641478
ENSG00000110063.7	DCPS	-1.06	0.707830596661788
ENSG00000110066.13	KMT5B	1.158	0.196818917042183
ENSG00000110074.9	FOXRED1	-0.02	0.99721597945701
ENSG00000110075.13	PPP6R3	1.168	0.126545269931474
ENSG00000110076.17	NRXN2	0.091	0.993537467948784
ENSG00000110077.13	MS4A6A	-2.413	0.109160196990737
ENSG00000110079.15	MS4A4A	-2.558	0.156050513027002
ENSG00000110080.17	ST3GAL4	-0.688	0.900935288142214
ENSG00000110090.11	CPT1A	1.818	0.0345509471327148
ENSG00000110092.3	CCND1	2.235	0.280126681722405
ENSG00000110104.10	CCDC86	0.173	0.968772337951579
ENSG00000110107.7	PRPF19	0.075	0.985578772171487
ENSG00000110108.8	TMEM109	-1.145	0.321300545753508
ENSG00000110169.9	HPX	-5.166	0.240044806904084
ENSG00000110171.17	TRIM3	-0.254	0.915851614853828
ENSG00000110172.10	CHORDC1	0.733	0.604927558407237
ENSG00000110195.10	FOLR1	-1.669	0.828489039026873
ENSG00000110200.7	ANAPC15	0.847	0.543576595505243
ENSG00000110218.7	PANX1	-0.834	0.559518446875495
ENSG00000110237.3	ARHGEF17	-0.028	0.996742725329335
ENSG00000110245.10	APOC3	-2.947	0.785055129584651
ENSG00000110274.13	CEP164	-0.046	0.989649297811421
ENSG00000110315.5	RNF141	0.509	0.7222445056072
ENSG00000110318.12	CEP126	1.717	0.335510301926983
ENSG00000110321.14	EIF4G2	0.017	0.99721597945701
ENSG00000110324.8	IL10RA	-2.64	0.207987166501664
ENSG00000110328.5	GALNT18	-1.061	0.725640337741658
ENSG00000110330.7	BIRC2	-0.484	0.781715836212192
ENSG00000110344.8	UBE4A	-0.206	0.944188078141109
ENSG00000110367.10	DDX6	-0.012	0.998117201067154
ENSG00000110395.4	CBL	-0.442	0.868308898312432
ENSG00000110400.9	PVRL1	-0.072	0.990206124060678
ENSG00000110422.10	HIPK3	-0.588	0.747189003837392
ENSG00000110427.13	KIAA1549L	-1.868	0.631287624720651
ENSG00000110429.12	FBXO3	-0.439	0.849730611858172
ENSG00000110435.10	PDHX	0.169	0.9594633950434
ENSG00000110436.10	SLC1A2	-3.128	0.452484710025591
ENSG00000110442.10	COMMD9	-0.397	0.816087489906886
ENSG00000110446.8	SLC15A3	-2.166	0.196818917042183
ENSG00000110448.9	CD5	-0.637	0.923569013226975
ENSG00000110455.12	ACCS	1.021	0.245276913257714
ENSG00000110492.14	MDK	0.158	0.988685687471807
ENSG00000110497.13	AMBRA1	0.124	0.968299470625089
ENSG00000110514.17	MADD	-0.115	0.972374169433838
ENSG00000110536.12	PTPMT1	0.329	0.887434246322271
ENSG00000110583.11	NAA40	0.01	0.998117201067154
ENSG00000110619.15	CARS	-0.173	0.957877134173451
ENSG00000110628.12	SLC22A18	-0.277	0.962306258690051
ENSG00000110651.10	CD81	-0.317	0.890936026995531
ENSG00000110660.13	SLC35F2	-0.417	0.961975974584379
ENSG00000110665.10	C11orf21	-2.188	0.50409271864566
ENSG00000110680.11	CALCA	4.043	0.434067465300419
ENSG00000110693.14	SOX6	-1.079	0.8166327351501
ENSG00000110696.8	C11orf58	-0.043	0.988942556862132
ENSG00000110697.11	PITPNM1	1.049	0.435453220725981
ENSG00000110700.5	RPS13	-0.236	0.950122380384479
ENSG00000110711.8	AIP	0.468	0.902525768821373
ENSG00000110713.14	NUP98	0.163	0.952242497820828
ENSG00000110717.9	NDUFS8	0.645	0.821280978410385
ENSG00000110719.8	TCIRG1	0.584	0.846629121148505
ENSG00000110721.10	CHKA	1.722	0.170610189609797
ENSG00000110723.10	EXPH5	0.558	0.897832809788887
ENSG00000110756.16	HPS5	-0.268	0.929627264140731
ENSG00000110768.10	GTF2H1	0.183	0.927571406702536
ENSG00000110777.10	POU2AF1	-3.047	0.452484710025591
ENSG00000110786.16	PTPN5	-0.246	
ENSG00000110799.12	VWF	-1.853	0.623926406205363
ENSG00000110801.12	PSMD9	-0.393	0.846328819118452
ENSG00000110811.18	P3H3	0.264	0.979374100058666
ENSG00000110841.12	PPFIBP1	-0.194	0.968346762482424
ENSG00000110844.12	PRPF40B	0.299	0.917072781767359
ENSG00000110848.7	CD69	-3.876	0.02929925799054
ENSG00000110851.10	PRDM4	-0.205	0.944188078141109
ENSG00000110852.4	CLEC2B	-1.801	0.387205298615885
ENSG00000110871.13	COQ5	-0.128	0.972374169433838
ENSG00000110876.9	SELPLG	-2.551	0.213536303170482
ENSG00000110880.9	CORO1C	-0.243	0.941231147007231
ENSG00000110881.10	ASIC1	0.64	0.911351528611031
ENSG00000110888.16	CAPRIN2	0.564	0.842619895930883
ENSG00000110900.13	TSPAN11	-1.729	0.679525380776049
ENSG00000110906.11	KCTD10	-0.614	0.533419845943882
ENSG00000110911.13	SLC11A2	0.167	0.960322765608515
ENSG00000110917.6	MLEC	0.033	0.995003980336847
ENSG00000110921.10	MVK	-1.087	0.740119237141356
ENSG00000110925.5	CSRNP2	-0.116	0.974542212894379
ENSG00000110931.17	CAMKK2	-0.355	0.884977325440155
ENSG00000110934.9	BIN2	-1.9	0.309442820906126
ENSG00000110944.7	IL23A	-0.532	0.944188078141109
ENSG00000110955.7	ATP5B	-0.881	0.619146815126067
ENSG00000110958.14	PTGES3	-0.069	0.977181771104685
ENSG00000110987.7	BCL7A	-0.578	0.838520740740879
ENSG00000111011.16	RSRC2	-0.074	0.975758083741914
ENSG00000111012.8	CYP27B1	2.118	0.286923617173855
ENSG00000111052.6	LIN7A	-2.456	0.185966846270154
ENSG00000111057.9	KRT18	1.314	0.640258943007123
ENSG00000111058.6	ACSS3	-2.169	0.453086198067954
ENSG00000111077.16	TNS2	-0.866	0.743324730924551
ENSG00000111087.8	GLI1	1.302	0.659024398535294
ENSG00000111110.10	PPM1H	1.014	0.712631380838889
ENSG00000111142.12	METAP2	-0.671	0.662045697941166
ENSG00000111144.8	LTA4H	0.038	0.994617878470561
ENSG00000111145.6	ELK3	-0.735	0.780545707270043
ENSG00000111181.11	SLC6A12	-3.348	0.269948038295465
ENSG00000111186.11	WNT5B	-0.769	0.945153781204228
ENSG00000111196.8	MAGOHB	0.264	0.923934243675934
ENSG00000111199.9	TRPV4	-0.536	0.95983908763956
ENSG00000111203.10	ITFG2	0.208	0.944188078141109
ENSG00000111206.11	FOXM1	0.755	0.827464668393134
ENSG00000111215.10	PRR4	0.835	0.568158700539213
ENSG00000111224.12	PARP11	-0.002	0.999421944799129
ENSG00000111229.14	ARPC3	-0.316	0.900935288142214
ENSG00000111231.7	GPN3	-0.227	0.929720055808024
ENSG00000111237.17	VPS29	-0.329	0.862522280153158
ENSG00000111247.13	RAD51AP1	0.516	0.892513747631369
ENSG00000111249.12	CUX2	-2.647	0.489314711314484
ENSG00000111252.9	SH2B3	-1.377	0.344727010018825
ENSG00000111254.6	AKAP3	-1.098	0.775154606503161
ENSG00000111261.12	MANSC1	0.325	0.963337893034027
ENSG00000111266.7	DUSP16	0.314	0.912181345493727
ENSG00000111269.2	CREBL2	-0.421	0.717396174442958
ENSG00000111271.13	ACAD10	-0.054	0.991506962282656
ENSG00000111275.11	ALDH2	-1.199	0.713313645778833
ENSG00000111276.9	CDKN1B	0.447	0.872025397458502
ENSG00000111291.7	GPRC5D	1.635	0.368174195352223
ENSG00000111300.8	NAA25	0.245	0.912181345493727
ENSG00000111319.11	SCNN1A	2.193	0.623248867217818
ENSG00000111321.9	LTBR	-0.189	0.963337893034027
ENSG00000111325.15	OGFOD2	-0.132	0.975382710703864
ENSG00000111328.5	CDK2AP1	0.091	0.988467719666183
ENSG00000111331.11	OAS3	-0.362	0.957194964491386
ENSG00000111335.11	OAS2	-0.987	0.824883168417502
ENSG00000111339.9	ART4	-1.053	0.869249823718778
ENSG00000111341.8	MGP	-0.607	0.916417284117895
ENSG00000111344.10	RASAL1	1.043	0.887586651976884
ENSG00000111348.7	ARHGDIB	-0.865	0.698013650113476
ENSG00000111358.12	GTF2H3	0.16	0.963337893034027
ENSG00000111361.11	EIF2B1	-0.08	0.978645864311012
ENSG00000111364.14	DDX55	0.519	0.626132505101182
ENSG00000111371.14	SLC38A1	-0.185	0.977181771104685
ENSG00000111404.5	RERGL	-3.088	0.34061994558719
ENSG00000111412.5	C12orf49	0.007	0.999405775904437
ENSG00000111424.9	VDR	-0.98	0.829354787088615
ENSG00000111432.4	FZD10	6.134	2.01648790879404e-09
ENSG00000111445.12	RFC5	-0.109	0.977181771104685
ENSG00000111450.12	STX2	0.129	0.977181771104685
ENSG00000111452.11	ADGRD1	1.194	0.685715774440416
ENSG00000111481.8	COPZ1	-0.316	0.89215736703257
ENSG00000111490.11	TBC1D30	1.659	0.398998366429112
ENSG00000111530.11	CAND1	-0.129	0.964799004685373
ENSG00000111540.14	RAB5B	-0.474	0.489314711314484
ENSG00000111554.13	MDM1	1.65	0.0246332327134379
ENSG00000111581.8	NUP107	3.119	1.27271703351058e-10
ENSG00000111596.10	CNOT2	1.319	0.0001586204598059
ENSG00000111602.10	TIMELESS	0.261	0.930417890301598
ENSG00000111605.15	CPSF6	2.146	2.380926952672e-09
ENSG00000111615.11	KRR1	0.034	0.988467719666183
ENSG00000111639.6	MRPL51	-0.055	0.990183809505982
ENSG00000111640.13	GAPDH	0.042	0.994366705838497
ENSG00000111641.9	NOP2	0.791	0.319346265672287
ENSG00000111642.13	CHD4	-0.086	0.978771429296205
ENSG00000111644.6	ACRBP	1.35	0.37788473839769
ENSG00000111647.11	UHRF1BP1L	-0.588	0.781538404938626
ENSG00000111652.8	COPS7A	0.201	0.933238304908296
ENSG00000111653.18	ING4	0.074	0.98667330133435
ENSG00000111664.9	GNB3	0.815	0.821850474187064
ENSG00000111665.10	CDCA3	0.617	0.900935288142214
ENSG00000111666.9	CHPT1	-0.275	0.967982758850391
ENSG00000111667.12	USP5	-0.148	0.951984485472979
ENSG00000111669.13	TPI1	0.153	0.972625444616831
ENSG00000111670.13	GNPTAB	-0.44	0.861921377641478
ENSG00000111671.8	SPSB2	0.637	0.827464668393134
ENSG00000111674.7	ENO2	1.147	0.827464668393134
ENSG00000111676.13	ATN1	-0.166	0.957194964491386
ENSG00000111678.9	C12orf57	-0.599	0.835754048403479
ENSG00000111679.15	PTPN6	0.166	0.924317620646222
ENSG00000111684.9	LPCAT3	-0.395	0.922047206389657
ENSG00000111696.10	NT5DC3	-0.269	0.953310783646196
ENSG00000111700.11	SLCO1B3	0.962	0.965610207653724
ENSG00000111707.10	SUDS3	0.055	0.987824373716955
ENSG00000111711.8	GOLT1B	0.343	0.903818275522034
ENSG00000111716.11	LDHB	0.658	0.92522561129692
ENSG00000111725.9	PRKAB1	-0.168	0.968299470625089
ENSG00000111726.11	CMAS	0.074	0.987824373716955
ENSG00000111727.10	HCFC2	-1.111	0.585962822922133
ENSG00000111728.9	ST8SIA1	-1.391	0.785055129584651
ENSG00000111729.11	CLEC4A	-1.541	0.234761450148263
ENSG00000111731.11	C2CD5	0.038	0.991876578494389
ENSG00000111737.10	RAB35	-0.315	0.858747204489657
ENSG00000111752.9	PHC1	0.18	0.9732115244944
ENSG00000111775.2	COX6A1	-0.48	0.863594641749752
ENSG00000111785.17	RIC8B	0.89	0.762467572130306
ENSG00000111786.7	SRSF9	-0.235	0.907485989823052
ENSG00000111788.10	RP11-22B23.1	1.238	0.367979840274199
ENSG00000111790.12	FGFR1OP2	-0.042	0.987824373716955
ENSG00000111796.3	KLRB1	-2.807	0.266665132653414
ENSG00000111799.19	COL12A1	0.189	0.98471693750561
ENSG00000111801.14	BTN3A3	-0.557	0.906701822032035
ENSG00000111802.12	TDP2	-0.299	0.885452293276521
ENSG00000111816.7	FRK	0.085	0.991023137179418
ENSG00000111817.15	DSE	-1.233	0.681172152651922
ENSG00000111832.11	RWDD1	-0.29	0.90622685812824
ENSG00000111834.11	RSPH4A	1.004	0.807313929764071
ENSG00000111837.10	MAK	0.667	0.725640337741658
ENSG00000111843.12	TMEM14C	-0.109	0.97288345678241
ENSG00000111845.4	PAK1IP1	0.4	0.796609135413842
ENSG00000111846.14	GCNT2	-0.162	0.985578772171487
ENSG00000111850.9	SMIM8	0.46	0.868481870501698
ENSG00000111859.15	NEDD9	0.172	0.979689701413654
ENSG00000111860.12	CEP85L	-0.102	0.991023137179418
ENSG00000111863.11	ADTRP	-0.923	0.900935288142214
ENSG00000111875.7	ASF1A	0.999	0.59969147438874
ENSG00000111877.16	MCM9	0.441	0.845802946938298
ENSG00000111879.17	FAM184A	-0.029	0.998117201067154
ENSG00000111880.14	RNGTT	0.441	0.882744912678737
ENSG00000111885.6	MAN1A1	0.355	0.946638815747218
ENSG00000111897.6	SERINC1	-0.597	0.76914853142657
ENSG00000111906.16	HDDC2	0.509	0.817080176098797
ENSG00000111907.19	TPD52L1	0.292	0.972815162549262
ENSG00000111911.6	HINT3	0.279	0.932836217745636
ENSG00000111912.17	NCOA7	0.149	0.982442185129749
ENSG00000111913.14	FAM65B	-1.158	0.788498359604471
ENSG00000111961.15	SASH1	-0.451	0.893785355624321
ENSG00000111962.7	UST	-3.301	0.247946182547177
ENSG00000111981.4	ULBP1	-0.004	0.999421944799129
ENSG00000112029.8	FBXO5	1.004	0.64739061925665
ENSG00000112031.14	MTRF1L	0.313	0.882958417869427
ENSG00000112033.12	PPARD	-0.175	0.955802706795163
ENSG00000112039.3	FANCE	0.412	0.903883827561798
ENSG00000112062.9	MAPK14	0.047	0.988467719666183
ENSG00000112078.12	KCTD20	-0.219	0.917973526829735
ENSG00000112079.8	STK38	0.567	0.728313351728747
ENSG00000112081.15	SRSF3	0.338	0.665559219861617
ENSG00000112096.15	SOD2	-0.828	0.801330658067489
ENSG00000112110.8	MRPL18	0.521	0.828489039026873
ENSG00000112118.16	MCM3	0.062	0.987824373716955
ENSG00000112130.15	RNF8	0.348	0.845938041625472
ENSG00000112137.15	PHACTR1	-0.325	0.956569673235366
ENSG00000112139.13	MDGA1	-1.422	0.666489563135526
ENSG00000112144.14	ICK	0.67	0.797997690008722
ENSG00000112146.15	FBXO9	-0.098	0.979689701413654
ENSG00000112149.8	CD83	-1.704	0.453679334016739
ENSG00000112159.10	MDN1	0.931	0.550424066059536
ENSG00000112167.8	SAYSD1	0.195	0.951984485472979
ENSG00000112175.7	BMP5	3.511	0.188898039029845
ENSG00000112182.13	BACH2	-0.394	0.960493974022809
ENSG00000112183.13	RBM24	1.031	0.89215736703257
ENSG00000112186.10	CAP2	-0.332	0.939117918134613
ENSG00000112200.15	ZNF451	0.191	0.927571406702536
ENSG00000112208.11	BAG2	1.311	0.755636599935247
ENSG00000112210.10	RAB23	0.185	0.983270632681709
ENSG00000112212.10	TSPO2	-1.476	0.759574937349332
ENSG00000112214.9	FHL5	-0.14	0.991023137179418
ENSG00000112218.8	GPR63	-0.496	0.947085637752254
ENSG00000112234.7	FBXL4	0.139	0.97663231750177
ENSG00000112237.11	CCNC	0.248	0.941231147007231
ENSG00000112242.13	E2F3	0.512	0.837381223150914
ENSG00000112245.8	PTP4A1	0.494	0.917557489997491
ENSG00000112249.12	ASCC3	-0.089	0.990628314616338
ENSG00000112276.12	BVES	0.995	0.670102667783881
ENSG00000112280.14	COL9A1	1.604	0.559518446875495
ENSG00000112282.16	MED23	0.424	0.861671254084659
ENSG00000112290.11	WASF1	0.393	0.946097482060142
ENSG00000112293.13	GPLD1	-1.22	0.715276912485779
ENSG00000112294.11	ALDH5A1	-0.574	0.85967244725616
ENSG00000112297.13	AIM1	-0.419	0.957852054644848
ENSG00000112299.7	VNN1	1.491	0.744903123684572
ENSG00000112303.12	VNN2	0.521	0.951984485472979
ENSG00000112304.9	ACOT13	-0.032	0.994617878470561
ENSG00000112305.13	SMAP1	0.325	0.889431049293802
ENSG00000112306.7	RPS12	0.552	0.823402076162419
ENSG00000112308.11	C6orf62	-0.133	0.972726921581456
ENSG00000112309.9	B3GAT2	0.843	0.662511885688422
